observed_at,source,season,date,home_name,away_name,home,away,home_goals,away_goals,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners
2026-08-20T1514Z,football-data,2324,2024-02-19,Ath Bilbao,Girona,athletic,,3,2,,,14,12,7,6,3,4
2026-08-20T1514Z,football-data,2324,2024-02-23,Sociedad,Villarreal,real-sociedad,villarreal,1,3,,,21,6,8,4,13,2
2026-08-20T1514Z,football-data,2324,2024-02-24,Barcelona,Getafe,barcelona,getafe,4,0,,,17,10,9,4,5,8
2026-08-20T1514Z,football-data,2324,2024-02-24,Alaves,Mallorca,alaves,,1,1,,,9,15,1,8,3,3
2026-08-20T1514Z,football-data,2324,2024-02-24,Almeria,Ath Madrid,,atletico,2,2,,,9,18,4,9,2,7
2026-08-20T1514Z,football-data,2324,2024-02-25,Cadiz,Celta,,celta,2,2,,,19,7,6,3,9,1
2026-08-20T1514Z,football-data,2324,2024-02-25,Betis,Ath Bilbao,betis,athletic,3,1,,,13,3,5,1,5,3
2026-08-20T1514Z,football-data,2324,2024-02-25,Las Palmas,Osasuna,,osasuna,1,1,,,9,6,3,2,6,7
2026-08-20T1514Z,football-data,2324,2024-02-25,Real Madrid,Sevilla,real-madrid,sevilla,1,0,,,16,4,6,1,7,2
2026-08-20T1514Z,football-data,2324,2024-02-26,Girona,Vallecano,,rayo-vallecano,3,0,,,14,7,8,1,2,2
2026-08-20T1514Z,football-data,2324,2024-03-01,Celta,Almeria,celta,,1,0,,,15,3,6,0,7,0
2026-08-20T1514Z,football-data,2324,2024-03-02,Sevilla,Sociedad,sevilla,real-sociedad,3,2,,,12,13,5,4,2,5
2026-08-20T1514Z,football-data,2324,2024-03-02,Vallecano,Cadiz,rayo-vallecano,,1,1,,,9,16,5,5,4,9
2026-08-20T1514Z,football-data,2324,2024-03-02,Getafe,Las Palmas,getafe,,3,3,,,16,14,5,5,4,4
2026-08-20T1514Z,football-data,2324,2024-03-02,Valencia,Real Madrid,valencia,real-madrid,2,2,,,12,10,5,5,2,2
2026-08-20T1514Z,football-data,2324,2024-03-03,Villarreal,Granada,villarreal,,5,1,,,16,9,10,3,6,4
2026-08-20T1514Z,football-data,2324,2024-03-03,Ath Madrid,Betis,atletico,betis,2,1,,,17,12,12,6,4,6
2026-08-20T1514Z,football-data,2324,2024-03-03,Mallorca,Girona,,,1,0,,,16,15,2,4,8,5
2026-08-20T1514Z,football-data,2324,2024-03-03,Ath Bilbao,Barcelona,athletic,barcelona,0,0,,,8,8,2,2,4,4
2026-08-20T1514Z,football-data,2324,2024-03-04,Osasuna,Alaves,osasuna,alaves,1,0,,,15,10,4,4,5,5
2026-08-20T1514Z,football-data,2324,2024-03-08,Barcelona,Mallorca,barcelona,,1,0,,,20,9,6,3,4,1
2026-08-20T1514Z,football-data,2324,2024-03-09,Valencia,Getafe,valencia,getafe,1,0,,,10,15,3,5,5,5
2026-08-20T1514Z,football-data,2324,2024-03-09,Cadiz,Ath Madrid,,atletico,2,0,,,7,8,3,4,3,1
2026-08-20T1514Z,football-data,2324,2024-03-09,Granada,Sociedad,,real-sociedad,2,3,,,13,11,6,8,4,6
2026-08-20T1514Z,football-data,2324,2024-03-09,Girona,Osasuna,,osasuna,2,0,,,11,7,6,1,5,7
2026-08-20T1514Z,football-data,2324,2024-03-10,Alaves,Vallecano,alaves,rayo-vallecano,1,0,,,12,9,4,3,7,5
2026-08-20T1514Z,football-data,2324,2024-03-10,Las Palmas,Ath Bilbao,,athletic,0,2,,,14,7,2,2,10,3
2026-08-20T1514Z,football-data,2324,2024-03-10,Real Madrid,Celta,real-madrid,celta,4,0,,,24,11,13,1,12,1
2026-08-20T1514Z,football-data,2324,2024-03-10,Betis,Villarreal,betis,villarreal,2,3,,,13,6,4,4,11,4
2026-08-20T1514Z,football-data,2324,2024-03-11,Almeria,Sevilla,,sevilla,2,2,,,14,19,4,6,1,8
2026-08-20T1514Z,football-data,2324,2024-03-15,Sociedad,Cadiz,real-sociedad,,2,0,,,14,13,6,2,8,2
2026-08-20T1514Z,football-data,2324,2024-03-16,Mallorca,Granada,,,1,0,,,18,8,8,3,10,2
2026-08-20T1514Z,football-data,2324,2024-03-16,Osasuna,Real Madrid,osasuna,real-madrid,2,4,,,9,17,4,9,5,7
2026-08-20T1514Z,football-data,2324,2024-03-16,Getafe,Girona,getafe,,1,0,,,11,13,3,3,2,5
2026-08-20T1514Z,football-data,2324,2024-03-16,Ath Bilbao,Alaves,athletic,alaves,2,0,,,16,7,4,3,5,4
2026-08-20T1514Z,football-data,2324,2024-03-17,Sevilla,Celta,sevilla,celta,1,2,,,11,18,4,5,3,8
2026-08-20T1514Z,football-data,2324,2024-03-17,Las Palmas,Almeria,,,0,1,,,21,3,6,2,11,3
2026-08-20T1514Z,football-data,2324,2024-03-17,Villarreal,Valencia,villarreal,valencia,1,0,,,13,14,7,7,6,2
2026-08-20T1514Z,football-data,2324,2024-03-17,Vallecano,Betis,rayo-vallecano,betis,2,0,,,8,11,4,1,4,8
2026-08-20T1514Z,football-data,2324,2024-03-17,Ath Madrid,Barcelona,atletico,barcelona,0,3,,,12,9,3,5,7,3
2026-08-20T1514Z,football-data,2324,2024-03-29,Cadiz,Granada,,,1,0,,,13,10,5,2,5,2
2026-08-20T1514Z,football-data,2324,2024-03-30,Getafe,Sevilla,getafe,sevilla,0,1,,,18,10,5,3,7,3
2026-08-20T1514Z,football-data,2324,2024-03-30,Almeria,Osasuna,,osasuna,0,3,,,12,6,5,4,6,1
2026-08-20T1514Z,football-data,2324,2024-03-30,Valencia,Mallorca,valencia,,0,0,,,14,11,5,3,3,3
2026-08-20T1514Z,football-data,2324,2024-03-30,Barcelona,Las Palmas,barcelona,,1,0,,,14,8,2,0,6,1
2026-08-20T1514Z,football-data,2324,2024-03-31,Celta,Vallecano,celta,rayo-vallecano,0,0,,,13,8,0,2,3,2
2026-08-20T1514Z,football-data,2324,2024-03-31,Girona,Betis,,betis,3,2,,,9,7,5,4,5,4
2026-08-20T1514Z,football-data,2324,2024-03-31,Alaves,Sociedad,alaves,real-sociedad,0,1,,,3,12,0,3,3,8
2026-08-20T1514Z,football-data,2324,2024-03-31,Real Madrid,Ath Bilbao,real-madrid,athletic,2,0,,,9,7,4,3,4,7
2026-08-20T1514Z,football-data,2324,2024-04-01,Villarreal,Ath Madrid,villarreal,atletico,1,2,,,11,14,2,8,3,3
2026-08-20T1514Z,football-data,2324,2024-04-04,Granada,Valencia,,valencia,0,1,,,13,6,3,2,5,4
