observed_at,source,activity_id,at,kind,user_id,player_id,amount
2026-08-17T2246Z,laliga,12967161,2026-08-14T22:24:09+02:00,buy,11882956,2443,17785551
2026-08-17T2246Z,laliga,12967151,2026-08-14T22:24:08+02:00,buy,11877808,2941,2033651
2026-08-17T2246Z,laliga,12367725,2026-08-14T13:50:06+02:00,sell,11877808,2768,14013107
2026-08-17T2246Z,laliga,12367538,2026-08-14T13:49:49+02:00,sell,11877808,2146,5130033
2026-08-17T2246Z,laliga,12083133,2026-08-13T23:40:27+02:00,sell,11882956,2883,476265
2026-08-17T2246Z,laliga,12020538,2026-08-13T22:26:38+02:00,sell,11883172,3121,5284122
2026-08-17T2246Z,laliga,12020419,2026-08-13T22:26:29+02:00,sell,11883172,3034,6489738
2026-08-17T2246Z,laliga,12020169,2026-08-13T22:26:16+02:00,sell,11883172,2384,5762182
2026-08-17T2246Z,laliga,12019881,2026-08-13T22:26:02+02:00,sell,11883172,2492,7275530
2026-08-17T2246Z,laliga,12019807,2026-08-13T22:25:53+02:00,sell,11883172,2321,4748599
2026-08-17T2246Z,laliga,12018446,2026-08-13T22:24:16+02:00,buy,11883172,2474,2580315
2026-08-17T2246Z,laliga,12018444,2026-08-13T22:24:16+02:00,buy,3480702,3022,6954257
2026-08-17T2246Z,laliga,12018441,2026-08-13T22:24:16+02:00,buy,3480702,3068,17500002
2026-08-17T2246Z,laliga,12018440,2026-08-13T22:24:16+02:00,buy,3480702,1674,50836360
2026-08-17T2246Z,laliga,12018439,2026-08-13T22:24:16+02:00,buy,11882956,1210,44652302
2026-08-17T2246Z,laliga,11434719,2026-08-13T13:13:04+02:00,sell,11881989,1191,8800811
2026-08-17T2246Z,laliga,11434473,2026-08-13T13:12:34+02:00,sell,11881989,2881,425612
2026-08-17T2246Z,laliga,11434086,2026-08-13T13:12:07+02:00,sell,11881989,2448,8567036
2026-08-17T2246Z,laliga,11156104,2026-08-12T22:24:40+02:00,buy,11877808,2385,2050000
2026-08-17T2246Z,laliga,11156098,2026-08-12T22:24:40+02:00,buy,11883172,2507,40010000
2026-08-17T2246Z,laliga,11156102,2026-08-12T22:24:40+02:00,buy,11877808,2522,80000000
2026-08-17T2246Z,laliga,11156105,2026-08-12T22:24:40+02:00,buy,11877808,2619,700000
2026-08-17T2246Z,laliga,11156107,2026-08-12T22:24:40+02:00,buy,11883172,1031,35276000
2026-08-17T2246Z,laliga,11156110,2026-08-12T22:24:40+02:00,buy,3480702,3089,49991863
2026-08-17T2246Z,laliga,10414037,2026-08-11T23:26:00+02:00,sell,3480702,2516,8041411
2026-08-17T2246Z,laliga,10413721,2026-08-11T23:25:21+02:00,sell,3480702,2383,10393147
2026-08-17T2246Z,laliga,10413598,2026-08-11T23:25:12+02:00,sell,3480702,2653,373500
2026-08-17T2246Z,laliga,10413401,2026-08-11T23:24:59+02:00,sell,3480702,2314,11664367
2026-08-17T2246Z,laliga,10383044,2026-08-11T22:42:54+02:00,sell,11883172,2936,468693
2026-08-17T2246Z,laliga,10367932,2026-08-11T22:24:13+02:00,buy,11883172,2614,45739000
2026-08-17T2246Z,laliga,10367931,2026-08-11T22:24:13+02:00,buy,11883172,2963,4000000
2026-08-17T2246Z,laliga,10367930,2026-08-11T22:24:13+02:00,buy,11881989,1215,6892898
2026-08-17T2246Z,laliga,10367928,2026-08-11T22:24:12+02:00,buy,11877808,2790,949269
2026-08-17T2246Z,laliga,9911778,2026-08-11T14:07:38+02:00,joined,11883172,,
2026-08-17T2246Z,laliga,9898543,2026-08-11T13:49:58+02:00,joined,11882956,,
2026-08-17T2246Z,laliga,9842821,2026-08-11T12:15:41+02:00,joined,11881989,,
2026-08-17T2246Z,laliga,9629986,2026-08-10T22:26:49+02:00,joined,3480702,,
2026-08-17T2246Z,laliga,9628336,2026-08-10T22:24:39+02:00,joined,11877808,,
2026-08-18T0941Z,laliga,15896269,2026-08-18T07:26:23+02:00,sell,3480702,3022,7235234
2026-08-18T2241Z,laliga,16784360,2026-08-19T00:18:49+02:00,sell,11881989,2975,4759903
2026-08-18T2241Z,laliga,16687484,2026-08-18T22:28:04+02:00,sell,11882956,2783,2133987
2026-08-18T2241Z,laliga,16683407,2026-08-18T22:24:11+02:00,buy,11881989,3123,28589508
2026-08-18T2241Z,laliga,16683399,2026-08-18T22:24:11+02:00,buy,3480702,3142,15537090
2026-08-18T2241Z,laliga,16683393,2026-08-18T22:24:11+02:00,buy,11882956,2382,20144326
2026-08-19T1750Z,laliga,17465307,2026-08-19T19:37:46+02:00,sell,3480702,1674,54175985
