observed_at,team_slug,player_name,player_slug,role,start_pct,status
2026-08-11T1439Z,celta,Abdoulaye Faye,,sub,20,ok
2026-08-11T1439Z,celta,Matías Vecino,,sub,20,ok
2026-08-11T1439Z,celta,Manu Fernández,,sub,20,ok
2026-08-11T1439Z,celta,Jones El-Abdellaoui,,sub,10,ok
2026-08-11T1439Z,celta,Altay Bayindir,,sub,10,ok
2026-08-11T1439Z,celta,Borja Iglesias,,sub,10,ok
2026-08-11T1439Z,celta,Pablo Durán,,sub,10,ok
2026-08-11T1439Z,celta,Carles Pérez,,sub,0,ok
2026-08-11T1439Z,celta,Iván Villar,,sub,0,ok
2026-08-11T1439Z,deportivo,Lorenzo Amatucci,,starter,70,ok
2026-08-11T1439Z,deportivo,Leo Román,,starter,80,ok
2026-08-11T1439Z,deportivo,Pierre-Emerick Aubameyang,,starter,70,ok
2026-08-11T1439Z,deportivo,Ximo Navarro,,starter,70,ok
2026-08-11T1439Z,deportivo,Bright Ede,,starter,50,ok
2026-08-11T1439Z,deportivo,Mario Soriano,,starter,80,ok
2026-08-11T1439Z,deportivo,Lucas Noubi,,starter,80,ok
2026-08-11T1439Z,deportivo,Giacomo Quagliata,,starter,50,ok
2026-08-11T1439Z,deportivo,Luismi Cruz,,starter,70,ok
2026-08-11T1439Z,deportivo,Bil Nsongo,,starter,50,ok
2026-08-11T1439Z,deportivo,Adrià Altimira,,starter,50,ok
2026-08-11T1439Z,deportivo,Angeliño,,sub,50,ok
2026-08-11T1439Z,deportivo,Miguel Loureiro,,sub,50,ok
2026-08-11T1439Z,deportivo,Jonathan Asp Jensen,,sub,40,ok
2026-08-11T1439Z,deportivo,Diego Villares,,sub,40,ok
2026-08-11T1439Z,deportivo,Yeremay Hernández,,sub,40,ok
2026-08-11T1439Z,deportivo,David Mella,,sub,30,ok
2026-08-11T1439Z,deportivo,Zakaria Eddahchouri,,sub,30,ok
2026-08-11T1439Z,deportivo,Teun Gijselhart,,sub,30,ok
2026-08-11T1439Z,deportivo,Dani Barcia,,sub,20,ok
2026-08-11T1439Z,deportivo,Arnau Comas,,sub,20,ok
2026-08-11T1439Z,deportivo,Álvaro Fernández,,sub,20,ok
2026-08-11T1439Z,deportivo,Kevin Sánchez,,sub,10,ok
2026-08-11T1439Z,deportivo,Noé Carrillo,,sub,0,ok
2026-08-11T1439Z,deportivo,José Ángel Jurado,,sub,0,ok
2026-08-11T1439Z,deportivo,Riki Rodríguez,,sub,0,ok
2026-08-11T1439Z,deportivo,Charlie Patino,,sub,0,ok
2026-08-11T1439Z,deportivo,Eric Puerto,,sub,0,ok
2026-08-11T1439Z,deportivo,Germán Parreño,,sub,0,ok
2026-08-11T1439Z,elche,Gonzalo Villar,,starter,80,ok
2026-08-11T1439Z,elche,David Affengruber,,starter,90,ok
2026-08-11T1439Z,elche,Buba Sangaré,,starter,70,ok
2026-08-11T1439Z,elche,Lucas Cepeda,,starter,60,ok
2026-08-11T1439Z,elche,Germán Valera,,starter,90,ok
2026-08-11T1439Z,elche,Pedro Bigas,,starter,50,ok
2026-08-11T1439Z,elche,Marc Aguado,,starter,70,ok
2026-08-11T1439Z,elche,Grady Diangana,,starter,50,ok
2026-08-11T1439Z,elche,Matías Dituro,,starter,90,ok
2026-08-11T1439Z,elche,Fernando Niño,,starter,60,ok
2026-08-11T1439Z,elche,Víctor Chust,,starter,80,ok
2026-08-11T1439Z,elche,Federico Redondo,,sub,50,ok
2026-08-11T1439Z,elche,Martim Neto,,sub,50,ok
2026-08-11T1439Z,elche,Ali Houary,,sub,40,ok
2026-08-11T1439Z,elche,Tete Morente,,sub,40,ok
2026-08-11T1439Z,elche,Adam Boayar,,sub,30,ok
2026-08-11T1439Z,elche,Facundo Buonanotte,,sub,30,ok
2026-08-11T1439Z,elche,Umaru Konaré,,sub,30,ok
2026-08-11T1439Z,elche,John Chetauya,,sub,20,ok
2026-08-11T1439Z,elche,Javi Morcillo,,sub,10,ok
2026-08-11T1439Z,elche,Alejandro Iturbe,,sub,10,ok
2026-08-11T1439Z,elche,Rafa Núñez,,sub,0,ok
2026-08-11T1439Z,elche,Abiel Osorio,,sub,0,ok
2026-08-11T1439Z,elche,Yago Santiago,,sub,0,ok
2026-08-11T1439Z,elche,Bambo Diaby,,sub,0,ok
2026-08-11T1439Z,elche,Matia Barzic,,sub,0,ok
2026-08-11T1439Z,espanyol,Álex Calatrava,,starter,70,ok
2026-08-11T1439Z,espanyol,Omar El Hilali,,starter,80,ok
2026-08-11T1439Z,espanyol,Roger Hinojo,,starter,50,ok
2026-08-11T1439Z,espanyol,Leandro Cabrera,,starter,95,ok
2026-08-11T1439Z,espanyol,Unai Núñez,,starter,50,ok
2026-08-11T1439Z,espanyol,Urko González de Zarate,,starter,80,ok
2026-08-11T1439Z,espanyol,Edu Expósito,,starter,80,ok
2026-08-11T1439Z,espanyol,Tyrhys Dolan,,starter,50,ok
2026-08-11T1439Z,espanyol,Marko Dmitrovic,,starter,95,ok
2026-08-11T1439Z,espanyol,Javier Hernández,,starter,50,ok
2026-08-11T1439Z,espanyol,Roberto Fernández,,starter,70,ok
2026-08-11T1439Z,espanyol,Pere Milla,,sub,50,ok
2026-08-11T1439Z,espanyol,Jofre Carreras,,sub,50,ok
2026-08-11T1439Z,espanyol,Pol Lozano,,sub,50,ok
2026-08-11T1439Z,espanyol,Quilindschy Hartman,,sub,50,ok
2026-08-11T1439Z,espanyol,Clemens Riedel,,sub,50,ok
2026-08-11T1439Z,espanyol,Marcos Fernández,,sub,30,ok
2026-08-11T1439Z,espanyol,Gabriel Moscardo,,sub,30,ok
2026-08-11T1439Z,espanyol,Rafel Bauzà,,sub,10,ok
2026-08-11T1439Z,espanyol,Miguel Ángel Rubio,,sub,5,ok
2026-08-11T1439Z,espanyol,Ángel Fortuño,,sub,5,ok
2026-08-11T1439Z,espanyol,Rubén Sánchez,,sub,0,ok
2026-08-11T1439Z,espanyol,Kike García,,sub,0,ok
2026-08-11T1439Z,espanyol,Javi Puado,,sub,0,ok
2026-08-11T1439Z,getafe,Martín Satriano,,starter,90,ok
2026-08-11T1439Z,getafe,Mario Martín,,starter,80,ok
2026-08-11T1439Z,getafe,David Soria,,starter,95,ok
2026-08-11T1439Z,getafe,Ramón Terrats,,starter,80,ok
2026-08-11T1439Z,getafe,Orel Mangala,,starter,50,ok
2026-08-11T1439Z,getafe,Davinchi,,starter,80,ok
2026-08-11T1439Z,getafe,Zaid Romero,,starter,90,ok
2026-08-11T1439Z,getafe,Dakonam Djené,,starter,90,ok
2026-08-11T1439Z,getafe,Kiko Femenia,,starter,70,ok
2026-08-11T1439Z,getafe,Andrés García,,starter,70,ok
2026-08-11T1439Z,getafe,Abdel Abqar,,starter,70,ok
