observed_at,source,team_id,user_id,manager,position,previous_position,team_points,fixture_points,team_value,team_money,banned,starting_week
2026-08-19T2307Z,laliga,38099509,11883172,BurtonGM89,2,5,28,28,212053918,,false,1
2026-08-19T2307Z,laliga,38098179,11882956,SusoGattuso,3,5,26,26,236187519,,false,1
2026-08-19T2307Z,laliga,38066387,11877808,Magic Mike 333,4,5,15,15,237924445,,false,1
2026-08-19T2307Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,217248186,,false,1
2026-08-19T2316Z,laliga,38091967,11881989,miguel_autentico,1,5,31,31,220039658,15980874,false,1
2026-08-19T2316Z,laliga,38099509,11883172,BurtonGM89,2,5,28,28,212053918,,false,1
2026-08-19T2316Z,laliga,38098179,11882956,SusoGattuso,3,5,26,26,236187519,,false,1
2026-08-19T2316Z,laliga,38066387,11877808,Magic Mike 333,4,5,15,15,237924445,,false,1
2026-08-19T2316Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,217248186,,false,1
2026-08-19T2356Z,laliga,38091967,11881989,miguel_autentico,1,5,31,31,220039658,15980874,false,1
2026-08-19T2356Z,laliga,38099509,11883172,BurtonGM89,2,5,28,28,212053918,,false,1
2026-08-19T2356Z,laliga,38098179,11882956,SusoGattuso,3,5,26,26,236187519,,false,1
2026-08-19T2356Z,laliga,38066387,11877808,Magic Mike 333,4,5,15,15,237924445,,false,1
2026-08-19T2356Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,217248186,,false,1
2026-08-20T0651Z,laliga,38066387,11877808,Magic Mike 333,4,5,15,15,238939399,,false,1
2026-08-20T0651Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,215152589,,false,1
2026-08-20T0651Z,laliga,38091967,11881989,miguel_autentico,1,5,31,31,220039658,19080874,false,1
2026-08-20T0651Z,laliga,38098179,11882956,SusoGattuso,3,5,26,26,238126617,,false,1
2026-08-20T0651Z,laliga,38099509,11883172,BurtonGM89,2,5,28,28,210954803,,false,1
2026-08-20T0653Z,laliga,38066387,11877808,Magic Mike 333,4,5,15,15,238939399,,false,1
2026-08-20T0653Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,215152589,,false,1
2026-08-20T0653Z,laliga,38091967,11881989,miguel_autentico,1,5,31,31,220039658,19080874,false,1
2026-08-20T0653Z,laliga,38098179,11882956,SusoGattuso,3,5,26,26,238126617,,false,1
2026-08-20T0653Z,laliga,38099509,11883172,BurtonGM89,2,5,28,28,210954803,,false,1
2026-08-20T0707Z,laliga,38066387,11877808,Magic Mike 333,4,5,15,15,238939399,,false,1
2026-08-20T0707Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,215152589,,false,1
2026-08-20T0707Z,laliga,38091967,11881989,miguel_autentico,1,5,31,31,220039658,19180874,false,1
2026-08-20T0707Z,laliga,38098179,11882956,SusoGattuso,3,5,26,26,238126617,,false,1
2026-08-20T0707Z,laliga,38099509,11883172,BurtonGM89,2,5,28,28,210954803,,false,1
2026-08-20T0714Z,laliga,38066387,11877808,Magic Mike 333,4,5,15,15,238939399,,false,1
2026-08-20T0714Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,215152589,,false,1
2026-08-20T0714Z,laliga,38091967,11881989,miguel_autentico,1,5,31,31,220039658,19180874,false,1
2026-08-20T0714Z,laliga,38098179,11882956,SusoGattuso,3,5,26,26,238126617,,false,1
2026-08-20T0714Z,laliga,38099509,11883172,BurtonGM89,2,5,28,28,210954803,,false,1
2026-08-20T0749Z,laliga,38066387,11877808,Magic Mike 333,4,5,15,15,238939399,,false,1
2026-08-20T0749Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,215152589,,false,1
2026-08-20T0749Z,laliga,38091967,11881989,miguel_autentico,1,5,31,31,220039658,19180874,false,1
2026-08-20T0749Z,laliga,38098179,11882956,SusoGattuso,3,5,26,26,238126617,,false,1
2026-08-20T0749Z,laliga,38099509,11883172,BurtonGM89,2,5,28,28,210954803,,false,1
2026-08-20T0831Z,laliga,38066387,11877808,Magic Mike 333,4,5,15,15,238939399,,false,1
2026-08-20T0831Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,215152589,,false,1
2026-08-20T0831Z,laliga,38091967,11881989,miguel_autentico,1,5,31,31,220039658,19180874,false,1
2026-08-20T0831Z,laliga,38098179,11882956,SusoGattuso,3,5,26,26,238126617,,false,1
2026-08-20T0831Z,laliga,38099509,11883172,BurtonGM89,2,5,28,28,210954803,,false,1
2026-08-20T0844Z,laliga,38066387,11877808,Magic Mike 333,4,5,15,15,238939399,,false,1
2026-08-20T0844Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,215152589,,false,1
2026-08-20T0844Z,laliga,38091967,11881989,miguel_autentico,1,5,31,31,220039658,19180874,false,1
2026-08-20T0844Z,laliga,38098179,11882956,SusoGattuso,3,5,26,26,238126617,,false,1
2026-08-20T0844Z,laliga,38099509,11883172,BurtonGM89,2,5,28,28,210954803,,false,1
2026-08-20T0850Z,laliga,38066387,11877808,Magic Mike 333,4,5,15,15,238939399,,false,1
2026-08-20T0850Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,215152589,,false,1
2026-08-20T0850Z,laliga,38091967,11881989,miguel_autentico,1,5,31,31,220039658,19180874,false,1
2026-08-20T0850Z,laliga,38098179,11882956,SusoGattuso,3,5,26,26,238126617,,false,1
2026-08-20T0850Z,laliga,38099509,11883172,BurtonGM89,2,5,28,28,210954803,,false,1
2026-08-20T0907Z,laliga,38066387,11877808,Magic Mike 333,4,5,15,15,238939399,,false,1
2026-08-20T0907Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,215152589,,false,1
2026-08-20T0907Z,laliga,38091967,11881989,miguel_autentico,1,5,31,31,220039658,19180874,false,1
2026-08-20T0907Z,laliga,38098179,11882956,SusoGattuso,3,5,26,26,238126617,,false,1
2026-08-20T0907Z,laliga,38099509,11883172,BurtonGM89,2,5,28,28,210954803,,false,1
2026-08-20T0911Z,laliga,38066387,11877808,Magic Mike 333,4,5,15,15,238939399,,false,1
2026-08-20T0911Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,215152589,,false,1
2026-08-20T0911Z,laliga,38091967,11881989,miguel_autentico,1,5,31,31,220039658,19180874,false,1
2026-08-20T0911Z,laliga,38098179,11882956,SusoGattuso,3,5,26,26,238126617,,false,1
2026-08-20T0911Z,laliga,38099509,11883172,BurtonGM89,2,5,28,28,210954803,,false,1
2026-08-20T0916Z,laliga,38066387,11877808,Magic Mike 333,4,5,15,15,238939399,,false,1
2026-08-20T0916Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,215152589,,false,1
2026-08-20T0916Z,laliga,38091967,11881989,miguel_autentico,1,5,31,31,220039658,19180874,false,1
2026-08-20T0916Z,laliga,38098179,11882956,SusoGattuso,3,5,26,26,238126617,,false,1
2026-08-20T0916Z,laliga,38099509,11883172,BurtonGM89,2,5,28,28,210954803,,false,1
2026-08-20T0923Z,laliga,38066387,11877808,Magic Mike 333,4,5,15,15,238939399,,false,1
2026-08-20T0923Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,215152589,,false,1
2026-08-20T0923Z,laliga,38091967,11881989,miguel_autentico,1,5,31,31,220039658,19180874,false,1
2026-08-20T0923Z,laliga,38098179,11882956,SusoGattuso,3,5,26,26,238126617,,false,1
2026-08-20T0923Z,laliga,38099509,11883172,BurtonGM89,2,5,28,28,210954803,,false,1
