observed_at,name,position,team_id,team,value,delta_1d,delta_pct_1d,slug
2026-08-11T1439Z,aleksa puric,defensa,2,Atlético,438837,-3587.0,-0.81076071822505,ficha
2026-08-11T1439Z,adrian niño,delantero,11,Málaga,2728780,-14003.0,-0.51053984219678,ficha
2026-08-11T1439Z,jorge salinas,defensa,42,Racing,6022356,0.0,0.0,ficha
2026-08-11T1439Z,miguel angel santaella,defensa,11,Málaga,401498,0.0,0.0,ficha
2026-08-11T1439Z,diego diaz,delantero,42,Racing,602234,0.0,0.0,ficha
2026-08-11T1439Z,santi franco,delantero,42,Racing,702606,0.0,0.0,ficha
2026-08-11T1439Z,sergio canales,mediocampista,42,Racing,20194925,794276.0,4.094069224179,ficha
2026-08-11T1439Z,giorgi guliashvili,delantero,42,Racing,2361335,-76438.0,-3.1355667652402,ficha
2026-08-11T1439Z,juan carlos arana,delantero,42,Racing,830692,-11230.0,-1.3338527797112,ficha
2026-08-11T1439Z,iñigo vicente,delantero,42,Racing,18763005,9615.0,0.05127073025197,ficha
2026-08-11T1439Z,mario solorzano,mediocampista,42,Racing,602234,0.0,0.0,ficha
2026-08-11T1439Z,gustavo puerta,mediocampista,42,Racing,11836985,239529.0,2.0653581268168,ficha
2026-08-11T1439Z,sergio martinez,mediocampista,42,Racing,702606,0.0,0.0,ficha
2026-08-11T1439Z,maguette gueye,mediocampista,42,Racing,4243630,-13793.0,-0.32397532497945,ficha
2026-08-11T1439Z,aitor crespo,defensa,42,Racing,802979,0.0,0.0,ficha
2026-08-11T1439Z,facundo gonzalez,defensa,42,Racing,3087639,-13521.0,-0.4359981426305,ficha
2026-08-11T1439Z,carlos sanchez,defensa,42,Racing,702606,0.0,0.0,ficha
2026-08-11T1439Z,manu hernando,defensa,42,Racing,1881107,-31756.0,-1.6601293453844,ficha
2026-08-11T1439Z,chupete,delantero,11,Málaga,53715179,507936.0,0.95463694670291,ficha
2026-08-11T1439Z,joaquin muñoz,delantero,11,Málaga,7224226,-129085.0,-1.7554677069962,ficha
2026-08-11T1439Z,izan merino,mediocampista,11,Málaga,6618673,-50671.0,-0.75975988043202,ficha
2026-08-11T1439Z,dani lorenzo,mediocampista,11,Málaga,9429605,74628.0,0.79773579347122,ficha
2026-08-11T1439Z,rafa rodriguez,mediocampista,11,Málaga,6270426,0.0,0.0,ficha
2026-08-11T1439Z,aaron ochoa,mediocampista,11,Málaga,3513040,0.0,0.0,ficha
2026-08-11T1439Z,ramon enriquez,mediocampista,11,Málaga,864228,-17346.0,-1.9676170122985,ficha
2026-08-11T1439Z,juanpe jimenez,mediocampista,11,Málaga,581931,0.0,0.0,ficha
2026-08-11T1439Z,julen lobete,delantero,11,Málaga,862257,-15119.0,-1.7232064702021,ficha
2026-08-11T1439Z,iñigo sainz-maza,defensa,42,Racing,826816,-19753.0,-2.3333006523981,ficha
2026-08-11T1439Z,eneko jauregi,delantero,11,Málaga,1460869,-46172.0,-3.0637520810648,ficha
2026-08-11T1439Z,haitam abaida,delantero,11,Málaga,438916,-3591.0,-0.81151258624157,ficha
2026-08-11T1439Z,alvaro jimenez,portero,42,Racing,602234,0.0,0.0,ficha
2026-08-11T1439Z,simon eriksson,portero,42,Racing,2951098,32698.0,1.1204084429825,ficha
2026-08-11T1439Z,laro gomez,portero,42,Racing,602234,0.0,0.0,ficha
2026-08-11T1439Z,alvaro mantilla,defensa,42,Racing,2577788,53519.0,2.1201781585085,ficha
2026-08-11T1439Z,andres vallecillo,mediocampista,42,Racing,677940,0.0,0.0,ficha
2026-08-11T1439Z,david larrubia,mediocampista,11,Málaga,55948998,551202.0,0.99498904252436,ficha
2026-08-11T1439Z,pablo arriaza,defensa,11,Málaga,401498,0.0,0.0,ficha
2026-08-11T1439Z,manuel pellegrini,entrenador,4,Betis,5100360,-156057.0,-2.9688854594299,ficha
2026-08-11T1439Z,carlos corberan,entrenador,18,Valencia,764121,-17141.0,-2.1940142999404,ficha
2026-08-11T1439Z,luis garcia,entrenador,17,Sevilla,972689,-25831.0,-2.5869286544085,ficha
2026-08-11T1439Z,pellegrino matarazzo,entrenador,16,Real Sociedad,4619872,-167088.0,-3.4904824773969,ficha
2026-08-11T1439Z,jose mourinho,entrenador,15,Real Madrid,16153373,-527545.0,-3.1625657532757,ficha
2026-08-11T1439Z,beñat san jose,entrenador,14,Rayo,1899597,-64452.0,-3.2815881884821,ficha
2026-08-11T1439Z,jose alberto lopez,entrenador,42,Racing,1097811,-31044.0,-2.7500431853515,ficha
2026-08-11T1439Z,luis miguel ramis,entrenador,13,Osasuna,1683551,-55450.0,-3.1886123124714,ficha
2026-08-11T1439Z,juan funes,entrenador,11,Málaga,1494003,-47552.0,-3.0846774847475,ficha
2026-08-11T1439Z,luis castro,entrenador,10,Levante,1475423,-46778.0,-3.0730501425239,ficha
2026-08-11T1439Z,pepe bordalas,entrenador,8,Getafe,51956388,-2150152.0,-3.9739225609326,ficha
2026-08-11T1439Z,manolo gonzalez,entrenador,7,Espanyol,1296718,-39332.0,-2.9439018000823,ficha
2026-08-11T1439Z,martin anselmi,entrenador,21,Elche,1899597,-64452.0,-3.2815881884821,ficha
2026-08-11T1439Z,antonio hidalgo,entrenador,6,Deportivo,1923646,-65454.0,-3.290633955055,ficha
2026-08-11T1439Z,claudio giraldez,entrenador,5,Celta,2806727,-99127.0,-3.4112863206479,ficha
2026-08-11T1439Z,hansi flick,entrenador,3,Barcelona,11155795,-295127.0,-2.5773208480505,ficha
2026-08-11T1439Z,yeremay hernandez,delantero,6,Deportivo,56690590,-1226022.0,-2.1168745160715,ficha
2026-08-11T1439Z,morten hjulmand,mediocampista,2,Atlético,33940963,507890.0,1.5191244908896,ficha
2026-08-11T1439Z,denzel dumfries,defensa,15,Real Madrid,63487680,-1424951.0,-2.1951829375087,ficha
2026-08-11T1439Z,quilindschy hartman,defensa,7,Espanyol,9593297,-180955.0,-1.8513437140765,ficha
2026-08-11T1439Z,marc cucurella,defensa,15,Real Madrid,83343244,1189061.0,1.4473529607129,ficha
2026-08-11T1439Z,ibrahima konate,defensa,15,Real Madrid,46906486,1300580.0,2.8517797672959,ficha
2026-08-11T1439Z,pierre-emerick aubameyang,delantero,6,Deportivo,27187958,1363042.0,5.2780113592625,ficha
2026-08-11T1439Z,alex calatrava,delantero,7,Espanyol,3716776,86521.0,2.3833311984971,ficha
2026-08-11T1439Z,bernardo silva,mediocampista,15,Real Madrid,47988419,1882574.0,4.0831569186076,ficha
2026-08-11T1439Z,diego simeone,entrenador,2,Atlético,6697115,-215917.0,-3.1233328588671,ficha
2026-08-11T1439Z,lorenzo amatucci,mediocampista,6,Deportivo,12046592,61035.0,0.50923791026149,ficha
2026-08-11T1439Z,justin de haas,defensa,18,Valencia,8660893,129340.0,1.5160194163946,ficha
2026-08-11T1439Z,aliou dieng,mediocampista,18,Valencia,5105025,-111561.0,-2.1385825902228,ficha
2026-08-11T1439Z,gabriel moscardo,mediocampista,7,Espanyol,10366601,-243145.0,-2.2917136753321,ficha
2026-08-11T1439Z,quique sanchez,entrenador,28,Alavés,972689,-25831.0,-2.5869286544085,ficha
2026-08-11T1439Z,edin terzic,entrenador,1,Athletic,9425186,-372994.0,-3.8067681957261,ficha
2026-08-11T1439Z,moussa diarra,defensa,11,Málaga,401498,0.0,0.0,ficha
2026-08-11T1439Z,alex pastor,defensa,11,Málaga,386848,-1421.0,-0.36598337750374,ficha
2026-08-11T1439Z,tomas marques,defensa,3,Barcelona,602319,0.0,0.0,ficha
2026-08-11T1439Z,zaid romero,defensa,8,Getafe,30116266,0.0,0.0,ficha
2026-08-11T1439Z,job ochieng,mediocampista,16,Real Sociedad,702633,0.0,0.0,ficha
2026-08-11T1439Z,andres antañon,mediocampista,5,Celta,581700,0.0,0.0,ficha
2026-08-11T1439Z,lamini fati,defensa,15,Real Madrid,677955,0.0,0.0,ficha
2026-08-11T1439Z,buba sangare,defensa,21,Elche,4015501,0.0,0.0,ficha
2026-08-11T1439Z,matias vecino,mediocampista,5,Celta,2245788,-56622.0,-2.4592492214679,ficha
2026-08-11T1439Z,obed vargas,mediocampista,2,Atlético,905163,-19236.0,-2.0809196028987,ficha
2026-08-11T1439Z,ademola lookman,delantero,2,Atlético,79098477,981161.0,1.2560096150769,ficha
2026-08-11T1439Z,tete morente,delantero,21,Elche,2136453,-53921.0,-2.4617257144214,ficha
2026-08-11T1439Z,alvaro fidalgo,mediocampista,4,Betis,2824096,-41007.0,-1.4312574451948,ficha
2026-08-11T1439Z,ville koski,defensa,28,Alavés,803089,0.0,0.0,ficha
2026-08-11T1439Z,alex freeman,defensa,22,Villarreal,2626091,-46746.0,-1.7489281987641,ficha
2026-08-11T1439Z,lucas cepeda,delantero,21,Elche,1105325,-12987.0,-1.1613038221892,ficha
2026-08-11T1439Z,angel perez,delantero,28,Alavés,6995531,-106155.0,-1.4947858860558,ficha
2026-08-11T1439Z,sebastian boselli,defensa,8,Getafe,2893999,0.0,0.0,ficha
2026-08-11T1439Z,dani mesonero,mediocampista,15,Real Madrid,702606,0.0,0.0,ficha
2026-08-11T1439Z,miguel cubo,delantero,2,Atlético,602316,0.0,0.0,ficha
2026-08-11T1439Z,lander astiazaran,mediocampista,671,,602257,0.0,0.0,ficha
2026-08-11T1439Z,angel arcos,mediocampista,5,Celta,602257,0.0,0.0,ficha
2026-08-11T1439Z,jorge cestero,mediocampista,15,Real Madrid,602234,0.0,0.0,ficha
2026-08-11T1439Z,jorge montes,defensa,8,Getafe,602319,0.0,0.0,ficha
2026-08-11T1439Z,ferran gomez,mediocampista,7,Espanyol,602248,0.0,0.0,ficha
2026-08-11T1439Z,kareem tunde,mediocampista,10,Levante,8531892,0.0,0.0,ficha
2026-08-11T1439Z,kazunari kita,defensa,671,,602234,0.0,0.0,ficha
2026-08-11T1439Z,ibai aguirre,mediocampista,671,,602257,0.0,0.0,ficha
2026-08-11T1439Z,adrian riquelme,mediocampista,8,Getafe,602324,0.0,0.0,ficha
2026-08-11T1439Z,joel fontanet,defensa,18,Valencia,581987,0.0,0.0,ficha
2026-08-11T1439Z,joselillo gaitan,mediocampista,22,Villarreal,602292,0.0,0.0,ficha
2026-08-11T1439Z,manuel angel,mediocampista,15,Real Madrid,702606,0.0,0.0,ficha
2026-08-11T1439Z,julio diaz,defensa,17,Sevilla,477990,0.0,0.0,ficha
2026-08-11T1439Z,hugo burcio,mediocampista,5,Celta,602257,0.0,0.0,ficha
2026-08-11T1439Z,alex sanchez,mediocampista,21,Elche,602324,0.0,0.0,ficha
2026-08-11T1439Z,javi morcillo,mediocampista,21,Elche,702702,0.0,0.0,ficha
2026-08-11T1439Z,hugo rios,portero,6,Deportivo,903386,0.0,0.0,ficha
