observed_at,source,match_id,team_slug,player_name,player_slug,role,minute
2026-08-16T2253Z,futbolfantasy,22427,racing,Sergio Martínez,sergio-martinez,starter,68
2026-08-16T2253Z,futbolfantasy,22427,racing,Villalibre,asier-villalibre,starter,68
2026-08-16T2253Z,futbolfantasy,22427,racing,Andrés Martín,andres-martin,starter,
2026-08-16T2253Z,futbolfantasy,22427,racing,Eriksson,simon-eriksson,sub,
2026-08-16T2253Z,futbolfantasy,22427,racing,Hernando,manu-hernando,sub,15
2026-08-16T2253Z,futbolfantasy,22427,racing,Facu González,facundo-gonzalez,sub,76
2026-08-16T2253Z,futbolfantasy,22427,racing,Carlos Sánchez,carlos-sanchez-3,sub,
2026-08-16T2253Z,futbolfantasy,22427,racing,Sainz-Maza,nigo-sainz-maza,sub,
2026-08-16T2253Z,futbolfantasy,22427,racing,Maguette,maguette-gueye,sub,68
2026-08-16T2253Z,futbolfantasy,22427,racing,Diego Diaz,diego-diaz,sub,76
2026-08-16T2253Z,futbolfantasy,22427,racing,Vallecillo,andres-vallecillo,sub,
2026-08-16T2253Z,futbolfantasy,22427,racing,Castellanos,jorge-castellanos,sub,
2026-08-16T2253Z,futbolfantasy,22427,racing,Hugo Pérez,hugo-perez-2,sub,
2026-08-16T2253Z,futbolfantasy,22427,racing,Hugo Martín,hugo-martin-1,sub,
2026-08-16T2253Z,futbolfantasy,22427,racing,Arana,juan-carlos-arana,sub,
2026-08-16T2253Z,futbolfantasy,22427,racing,Zabiri,yassir-zabiri,sub,68
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Luiz Junior,luiz-junior,starter,
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Foyth,juan-foyth,starter,
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Veiga,renato-veiga,starter,
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Romero,carlos-romero,starter,
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Mouriño,santiago-mourino,starter,87
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Comesaña,santi-comesana,starter,55
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Pape Gueye,pape-gueye,starter,
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Moleiro,alberto-moleiro,starter,55
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Ayoze,ayoze-perez,starter,55
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Pépé,nicolas-pepe,starter,76
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Mikautadze,georges-mikautadze,starter,
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Gulacsi,peter-gulacsi,sub,
2026-08-16T2253Z,futbolfantasy,22427,villarreal,S. Cardona,sergi-cardona,sub,
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Logan Costa,logan-costa,sub,
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Kambwala,willy-kambwala,sub,
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Pau Navarro,pau-navarro,sub,
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Freeman,alex-freeman,sub,87
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Akhomach,ilias-akhomach,sub,76
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Buchanan,tajon-buchanan,sub,55
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Carlos Macià,carlos-macia,sub,55
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Thiam,cheikh-thiam,sub,
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Gerard,gerard-moreno,sub,55
2026-08-16T2253Z,futbolfantasy,22427,villarreal,Oluwaseyi,tani-oluwaseyi,sub,
