observed_at,source,team_slug,player_name,player_slug,role,start_pct,status,note
2026-08-11T1439Z,futbolfantasy,atletico,Juan Musso,juan-musso,sub,10,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Matteo Ruggeri,matteo-ruggeri,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Nahuel Molina,nahuel-molina,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Thomas Lemar,thomas-lemar,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Marc Bernal,marc-bernal,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Joan Garcia,joan-garcia,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Lamine Yamal,lamine-yamal,starter,60,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Fermín López,fermin-lopez,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Pau Cubarsí,pau-cubarsi,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Karim Adeyemi,karim-adeyemi,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Gerard Martín,gerard-martin,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Alejandro Balde,alejandro-balde,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Pedri González,pedri-gonzalez,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Eric Garcia,eric-garcia,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Raphinha,raphinha,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Jules Koundé,jules-kounde,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Pablo Gavi,pablo-gavi,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Anthony Gordon,anthony-gordon,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Dani Olmo,dani-olmo,sub,40,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Xavi Espart,xavi-espart,sub,40,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Andreas Christensen,andreas-christensen,sub,40,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Ferrán Torres,ferran-torres,sub,40,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Hamza Abdelkarim,hamza-abdelkarim,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Wojciech Szczesny,wojciech-szczesny,sub,20,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Marc Casadó,marc-casado,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Héctor Fort,hector-fort,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,barcelona,Frenkie de Jong,frenkie-de-jong,sub,0,injured,Lesión de rodilla Desde 04/07 (38 días) Baja hasta octubre-noviembre
2026-08-11T1439Z,futbolfantasy,barcelona,Roony Bardghji,roony-bardghji,sub,0,injured,Rotura de lig. cruzado anterior Desde 10/08 (1 día) Baja hasta marzo
2026-08-11T1439Z,futbolfantasy,betis,Cucho Hernández,cucho-hernandez,starter,60,ok,
2026-08-11T1439Z,futbolfantasy,betis,Pablo Fornals,pablo-fornals,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,betis,Héctor Bellerín,hector-bellerin,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,betis,Diego Javier Llorente,diego-javier-llorente,starter,60,ok,
2026-08-11T1439Z,futbolfantasy,betis,Natan,natan,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,betis,Álvaro Valles,alvaro-valles,starter,95,ok,
2026-08-11T1439Z,futbolfantasy,betis,Marc Roca,marc-roca,starter,60,ok,
2026-08-11T1439Z,futbolfantasy,betis,Isco Alarcón,isco-alarcon,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,betis,Antony,antony,starter,60,ok,
2026-08-11T1439Z,futbolfantasy,betis,Fran García,fran-garcia,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,betis,Rodrigo Riquelme,rodrigo-riquelme,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,betis,Facundo Bernal,facundo-bernal,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,betis,Nelson Deossa,nelson-deossa,sub,40,ok,
2026-08-11T1439Z,futbolfantasy,betis,Pablo García,pablo-garcia-1,sub,40,ok,
2026-08-11T1439Z,futbolfantasy,betis,Marc Bartra,marc-bartra,sub,40,ok,
