observed_at,source,team_id,player_id,player_name,player_name_full,position_id,market_value,player_status
2026-09-12T1543Z,laliga,18,2864,Marc Jurado,,2,602292,out_of_league
2026-09-12T1543Z,laliga,15,2867,Valdepeñas,,2,802997,out_of_league
2026-09-12T1543Z,laliga,13,2872,Mikel,,2,602319,out_of_league
2026-09-12T1543Z,laliga,13,2873,Santos,,2,500465,ok
2026-09-12T1543Z,laliga,15,2874,Joan Martínez,,2,702622,out_of_league
2026-09-12T1543Z,laliga,17,2876,Iker Muñoz,,2,473410,ok
2026-09-12T1543Z,laliga,2,2881,D. Martínez,,2,524304,ok
2026-09-12T1543Z,laliga,2,2882,J. Boñar,,2,445140,out_of_league
2026-09-12T1543Z,laliga,2,2883,Purić,,2,434872,out_of_league
2026-09-12T1543Z,laliga,21,2885,Xanet Olaiz,,2,473657,ok
2026-09-12T1543Z,laliga,4,2889,Tommy Marqués,,2,602319,out_of_league
2026-09-12T1543Z,laliga,9,2890,Montes,,2,602319,out_of_league
2026-09-12T1543Z,laliga,16,2898,Kita,,2,602234,out_of_league
2026-09-12T1543Z,laliga,18,2901,Fontanet,,2,581987,out_of_league
2026-09-12T1543Z,laliga,4,2906,Cancelo,,2,31699283,ok
2026-09-12T1543Z,laliga,17,2912,Julio Díaz,,2,426916,ok
2026-09-12T1543Z,laliga,7,2914,Bema Sina,,2,602324,out_of_league
2026-09-12T1543Z,laliga,9,2924,Zaid Romero,,2,27892212,suspended
2026-09-12T1543Z,laliga,9,2926,Boselli,,2,1275131,ok
2026-09-12T1543Z,laliga,8,2930,Nuñez,,2,10421998,ok
2026-09-12T1543Z,laliga,20,2934,Freeman,,2,1404348,ok
2026-09-12T1543Z,laliga,3,2936,Egiluz,,2,411094,injured
2026-09-12T1543Z,laliga,21,2938,Koski,,2,8573326,ok
2026-09-12T1543Z,laliga,7,2949,B. Sangare,,2,3729786,ok
2026-09-12T1543Z,laliga,18,2950,Saravia,,2,1505733,out_of_league
2026-09-12T1543Z,laliga,15,2952,Lamini,,2,677955,out_of_league
2026-09-12T1543Z,laliga,17,2953,Gattoni,,2,435131,out_of_league
2026-09-12T1543Z,laliga,2,2960,Spina,,2,702702,out_of_league
2026-09-12T1543Z,laliga,26,2963,Quagliata,,2,3646456,ok
2026-09-12T1543Z,laliga,26,2965,M. Loureiro,,2,2112483,ok
2026-09-12T1543Z,laliga,26,2968,Quique T.,,2,602257,out_of_league
2026-09-12T1543Z,laliga,26,2972,Damián,,2,602257,out_of_league
2026-09-12T1543Z,laliga,26,2976,A. Alti,,2,4863722,ok
2026-09-12T1543Z,laliga,26,2979,Samu,,2,702633,out_of_league
2026-09-12T1543Z,laliga,26,2982,I.vidal,,2,501880,out_of_league
2026-09-12T1543Z,laliga,26,2985,Noubi,,2,14877395,ok
2026-09-12T1543Z,laliga,26,2987,Comas,,2,508665,ok
2026-09-12T1543Z,laliga,26,2989,Dani Barcia,,2,717046,ok
2026-09-12T1543Z,laliga,26,2990,Ximo Navarro,,2,4872268,ok
2026-09-12T1543Z,laliga,26,2996,Escudero,,2,1003764,out_of_league
2026-09-12T1543Z,laliga,26,2997,Pablo,,2,468964,out_of_league
2026-09-12T1543Z,laliga,49,2999,Mantilla,,2,1823650,ok
2026-09-12T1543Z,laliga,49,3000,Iñigo,,2,522707,ok
2026-09-12T1543Z,laliga,49,3006,Mario García,,2,733895,out_of_league
2026-09-12T1543Z,laliga,49,3008,Manu Hernando,,2,2661843,ok
2026-09-12T1543Z,laliga,49,3009,Castro,,2,5018630,out_of_league
2026-09-12T1543Z,laliga,49,3010,Suleiman,,2,954892,out_of_league
2026-09-12T1543Z,laliga,49,3011,Jorge Salinas,,2,6957050,ok
2026-09-12T1543Z,laliga,49,3013,Calera,,2,802979,out_of_league
2026-09-12T1543Z,laliga,49,3020,Carlos Sánchez,,2,506712,ok
2026-09-12T1543Z,laliga,49,3026,Pablo Ramón,,2,1710475,ok
2026-09-12T1543Z,laliga,49,3027,Facu,,2,1623657,ok
2026-09-12T1543Z,laliga,49,3030,Aitor Crespo,,2,802979,out_of_league
2026-09-12T1543Z,laliga,12,3037,C. Puga,,2,4017367,ok
2026-09-12T1543Z,laliga,12,3039,Murillo,,2,960384,injured
2026-09-12T1543Z,laliga,12,3041,Rafita,,2,6958277,ok
2026-09-12T1543Z,laliga,12,3042,Einar,,2,5339694,ok
2026-09-12T1543Z,laliga,12,3043,Montero,,2,4115370,out_of_league
2026-09-12T1543Z,laliga,12,3047,Dani Sánchez,,2,598317,out_of_league
2026-09-12T1543Z,laliga,12,3051,Victor,,2,1254684,out_of_league
2026-09-12T1543Z,laliga,12,3054,Recio,,2,1651722,ok
2026-09-12T1543Z,laliga,12,3058,Gabilondo,,2,401498,out_of_league
2026-09-12T1543Z,laliga,12,3059,Pastor,,2,398846,ok
2026-09-12T1543Z,laliga,12,3062,Arriaza,,2,401498,out_of_league
2026-09-12T1543Z,laliga,12,3063,M. Santaella,,2,401498,out_of_league
2026-09-12T1543Z,laliga,12,3064,Moussa,,2,401498,out_of_league
2026-09-12T1543Z,laliga,3,3065,Laporte,,2,42284073,ok
2026-09-12T1543Z,laliga,7,3067,Affengruber,,2,23124950,out_of_league
2026-09-12T1543Z,laliga,8,3068,Cabrera,,2,9895598,ok
2026-09-12T1543Z,laliga,15,3080,Dumfries,,2,35423199,ok
2026-09-12T1543Z,laliga,14,3081,Ratiu,,2,25646066,ok
2026-09-12T1543Z,laliga,14,3082,Lejeune,,2,22912646,ok
2026-09-12T1543Z,laliga,8,3098,Q. Hartman,,2,3947198,ok
2026-09-12T1543Z,laliga,15,3106,Cucurella,,2,60129432,ok
2026-09-12T1543Z,laliga,15,3107,Konaté,,2,43272370,ok
2026-09-12T1543Z,laliga,11,3111,Cabello,,2,545651,ok
2026-09-12T1543Z,laliga,7,3115,Diaby,,2,630458,ok
2026-09-12T1543Z,laliga,18,3120,De Haas,,2,4592138,ok
2026-09-12T1543Z,laliga,6,3123,Marcos Alonso,,2,29174770,ok
2026-09-12T1543Z,laliga,12,3132,J. Berrocal,,2,834428,ok
2026-09-12T1543Z,laliga,9,3134,Saba Sazonov,,2,803494,ok
