player_id,name,club_id,ff_slug,af_slug,app_id,understat_id,app_names
13875,ismael bekhoucha,getafe,,,,13334,
13876,diego ferrer,getafe,diego-ferrer,,2819,,Ferrer
13877,jiri letacek,getafe,jiri-letacek,,,,
13883,martim neto,elche,martim-neto,,,13840,
13888,andres castrin,sevilla,andres-castrin,338902,,13600,
13968,eric puerto,deportivo,eric-puerto,,,,
13970,dani barcia,deportivo,dani-barcia,,,,
13972,diego villares,deportivo,diego-villares,,,14712,
13973,ruben lopez,deportivo,,,,,
13974,yeremay hernandez,deportivo,yeremay-hernandez,,,,
13975,david mella,deportivo,david-mella,,,14710,
13978,carlos lopez,malaga,carlos-lopez,,,,
13979,diego murillo,malaga,diego-murillo,,,,
13980,dani sanchez,malaga,dani-sanchez,,3047,,Dani Sánchez
13982,carlos puga,malaga,carlos-puga,,3037,14725,C. Puga
13983,izan merino,malaga,izan-merino,394372,3035,14729,Izan M.
13984,aaron ochoa,malaga,aaron-ochoa,,,,
14004,jozhua vertrouwd,rayo,jozhua-vertrouwd,,,13694,
14016,mikel santos,athletic,mikel-santos,,,,
14017,peio canales,athletic,peio-canales,437643,,13123,
14020,arkaitz mariezkurrena,real sociedad,,,,13267,
14021,job ochieng,real sociedad,job-ochieng,,,14364,
14022,alassane diatta,villarreal,alassane-diatta,,,13229,
14024,javier hernandez,espanyol,javier-hernandez,388495,,14074,
14034,iker cordoba,valencia,iker-cordoba,,,,
14036,joan martinez,real madrid,,,,,
14045,facundo garces,alaves,facundo-garces,,,13319,
14096,chupete,malaga,chupete,,,14732,
14097,pablo garcia,deportivo,,,,,
14100,raul jimenez,valencia,raul-jimenez-1,,,,
14105,jorge salinas,racing,jorge-salinas,482469,,14687,
14115,matia barzic,elche,matia-barzic,,,,
14118,ali houary,elche,-ali-houary,448243,,13838,
14125,luiz junior,villarreal,luiz-junior,278619,2467,12917,Júnior R.
14135,manu gonzalez,betis,manu-gonzalez,,,,
14155,maguette gueye,racing,maguette-gueye,334014,3012,14689,Maguette
14177,andres cespedes,malaga,,,,,
14210,zaid romero,getafe,zaid-romero,180927,,14387,
14700,david jimenez,real madrid,,,,13113,
14766,aitor crespo,racing,,,,,
14812,ruben gomez,villarreal,,,,,
14816,jean ives valou,getafe,jean-ives-valou,,2699,13696,J. Ives Valou
14832,albert niculaesei,elche,,,,,
14866,diego diaz,racing,diego-diaz,,3031,14690,Diego Diaz
14869,samu fernandez,deportivo,,,,,
14876,kevin sanchez,deportivo,kevin-sanchez,,3186,14711,Kevin
14881,alex marchal,real sociedad,alex-marchal,,,13483,
14882,alvaro cortes,barcelona,alvaro-cortes,,,13227,
14886,diego aguado,real madrid,,,,13236,
14894,ismael santana,valencia,,,,,
14903,hugo de llanos,real madrid,,,,,
14904,daniel yañez,real madrid,,,,13266,
14928,jose angel lopez,espanyol,jose-angel-lopez,,,,
14935,youssef enriquez,alaves,youssef-enriquez,,,,
14962,mario solorzano,racing,,,,,
14967,juanpe gil,rayo,,,,,
14979,nicolas valentini,alaves,nicolas-valentini,,,13313,
14980,jones el-abdellaoui,celta,jones-el-abdellaoui,,,13361,
15000,pablo lopez,valencia,,,,,
15033,simon eriksson,racing,simon-eriksson,,3018,,Eriksson
15127,angel perez,alaves,angel-perez-1,331369,,14392,
15133,gregoire swiderski,alaves,,,,,
15135,pol fortuny,real madrid,,,,,
15164,zakaria eddahchouri,deportivo,zakaria-eddahchouri,,,14709,
15227,mario rivas,real madrid,mario-rivas,,,,
15273,luken beitia,real sociedad,luken-beitia,,,13482,
15315,pablo arriaza,malaga,pablo-arriaza,,,,
15316,roger hinojo,espanyol,roger-hinojo,450716,,13533,
15336,rafa rodriguez,malaga,rafa-rodriguez,335221,,14735,
15342,yan diomande,real madrid,yan-diomande,513776,,13561,
15344,rafa garrido,malaga,rafa-garrido,,,,
15351,jonathan asp jensen,deportivo,jonathan-asp-jensen,,,12620,
15409,alejandro rego,athletic,alejandro-rego,,,13627,
15417,angel recio,malaga,angel-recio,316115,,14727,
15422,salvi esquivel,atletico,,,,,
15423,lander pinillos,alaves,,,,13646,
15505,federico redondo,elche,federico-redondo,,,13841,
15572,obed vargas,atletico,obed-vargas,,,14439,
1566,aissa mandi,levante,aissa-mandi,1567,,3237,
15696,nelson deossa,betis,nelson-deossa,,,14001,
15736,facundo bernal,betis,facundo-bernal,316519,,14741,
15928,aliou dieng,valencia,aliou-dieng,,3121,14802,Dieng
15957,gabriel moscardo,espanyol,gabriel-moscardo,,3127,,Moscardo
15961,jesus fortea,real madrid,,,,,
16003,manu fernandez,celta,manu-fernandez-1,,2653,,Manuel Fernández
16004,davinchi,getafe,davinchi,471478,,13788,
16014,antonio martinez bastida,elche,,,,,
16017,alejandro panach,valencia,,,,,
16018,aimar blazquez,valencia,,,,,
16020,nacho perez,levante,nacho-perez-1,504605,,13772,
16022,kareem tunde,levante,kareem-tunde,579287,,14258,
16099,lucas noubi,deportivo,lucas-noubi,319512,2985,14706,Noubi
16146,samu becerra,rayo,,,,13695,
16147,ivan alonso,rayo,ivan-alonso,,,,
16155,theo folgado,real sociedad,,,,,
16156,oscar marcos,celta,,,,,
16158,mauro echegoyen,osasuna,,,,,
16166,mykyta aleksandrov,getafe,,,,,
16171,juan hernandez,barcelona,,,,,
16186,mikel rodriguez,alaves,mikel-rodriguez,332645,,14681,
16198,edu altozano,sevilla,,,2745,,Edu Altozano
16201,mahamoud barry,villarreal,,,,,
16202,tyrhys dolan,espanyol,tyrhys-dolan,,,13829,
16203,valentin gomez,betis,valentin-gomez,,,13845,
16217,kazunari kita,real sociedad,,,,,
16235,alex costa,sevilla,,,,,
16236,miguel sierra,sevilla,miguel-sierra,546798,2746,13823,Miguel Sierra
16237,thiago pitarch,real madrid,thiago-pitarch,,,13848,
16247,lander astiazaran,,,,,,
16262,sergio martinez,racing,sergio-martinez,643970,,14688,
16263,santi franco,racing,,,,,
16286,dani lorenzo,malaga,dani-lorenzo-1,337523,3036,14731,Dani Lorenzo
16287,ivan corralejo,betis,,,,13855,
16308,clemens riedel,espanyol,clemens-riedel,,2785,11924,Riedel
16317,marcos navarro,valencia,marcos-navarro-1,,,,
16349,adrian perez,athletic,adrian-perez-1,,,,
16350,iker monreal,athletic,iker-monreal,,,,
16359,laro gomez,racing,laro-gomez,,,,
16723,eder aller,barcelona,eder-aller,,,,
16735,javi navarro,real madrid,,,,,
16758,carlos ballestero,alaves,,,,14117,
16760,pedro felipe,racing,pedro-felipe,,,14122,
16763,hugo rios,deportivo,,,,,
16764,quique teijo,deportivo,,,,,
16765,xavi espart,barcelona,xavi-espart,568001,,14129,
16767,david delgado,elche,,,,,
16797,damian canedo,deportivo,,,,,
16798,marc jurado,valencia,,,,,
16801,pablo meixus,celta,,,,,
16802,andres antañon,celta,,,,14500,
16803,hugo burcio,celta,hugo-burcio,,,14362,
16809,ferran gomez,espanyol,,,,,
16810,selton sanchez,athletic,selton-sanchez,,,14167,
16818,asier hierro,athletic,asier-hierro,,,14183,
16863,bil nsongo,deportivo,bil-nsongo,574733,,14708,
16867,ibai aguirre,,,,,,
16873,angel arcos,celta,,,,,
16874,joel fontanet,valencia,,,,,
16917,jorge montes,getafe,,,,14202,
16920,izei hernandez,alaves,,,,,
16922,gorka carrera,real sociedad,gorka-carrera-1,,,14208,
16923,tomas marques,barcelona,,,,14205,
16924,huseini nakoha,levante,,,,,
16931,xanet olaiz,alaves,xanet-olaiz,,,,
16933,pablo roson,levante,,,,,
16938,carlos macia,villarreal,carlos-macia,548734,,14221,
16940,aleksa puric,atletico,,,2883,14224,Purić
16948,jorge cestero,real madrid,jorge-cestero,,,14246,
16975,iker muñoz,sevilla,iker-munoz-1,,2876,,Iker Muñoz
16976,noe carrillo,deportivo,noe-carrillo,,,,
16982,unai santos,osasuna,,,,,
17116,thiago fernandez,levante,thiago-fernandez,362750,,,
17119,joselillo gaitan,villarreal,,,,,
17126,alvaro jimenez,racing,,,,,
17129,julio diaz,sevilla,julio-diaz,,2912,14323,Julio Díaz
17145,adrian riquelme,getafe,,,,,
17148,giorgi guliashvili,racing,giorgi-guliashvili,,,,
17151,abiel osorio,elche,abiel-osorio,,2922,,Osorio
17161,sebastian boselli,getafe,sebastian-boselli,,,14389,
17166,dani mesonero,real madrid,,,,,
17190,alex sanchez,elche,,,,14366,
17248,lucas cepeda,elche,lucas-cepeda,318592,,14400,
17275,alex freeman,villarreal,alex-freeman,,,,
17284,ville koski,alaves,ville-koski,106759,,14519,
17406,lamini fati,real madrid,,,,,
1743,mathew ryan,levante,mat-ryan,2741,,2385,
17445,adama timera,espanyol,adama-timera,,3170,,Timera
17493,carlos sanchez,racing,carlos-sanchez-3,,3020,,Carlos Sánchez
17495,javi morcillo,elche,javi-morcillo,,,,
175,iago aspas,celta,iago-aspas,47445,2492,2290,Iago Aspas
17529,miguel cubo,atletico,,,,14586,
1778,denis suarez,alaves,denis-suarez,,2474,2308,Denis Suárez
18006,enzo bardelli,levante,enzo-bardelli,,,,
18014,arouna sangante,sevilla,arouna-sangante,,,11788,
18017,teun gijselhart,deportivo,teun-gijselhart,,,,
18018,justin de haas,valencia,justin-de-haas,36884,3120,14800,De Haas
18021,alvaro padilla,elche,alvaro-padilla,,,14718,
18027,igor galdin,levante,,,,,
18028,marc santos,levante,marc-santos,,,14702,
18029,alberto calatrava,levante,,,3168,,Alberto Calatrava
18030,bright ede,deportivo,bright-ede,497393,,14707,
18039,cheikh thiam,villarreal,cheikh-thiam,,,,
18048,marco roman,rayo,,,3179,,Marco Román
18214,jorge castillo,atletico,jorge-castillo,,,,
18218,andres vallecillo,racing,andres-vallecillo,,,,
18221,jorge castellanos,racing,jorge-castellanos,,,,
18224,miguel angel santaella,malaga,,,,,
18225,juani,malaga,juani,,,,
18241,manel usedo,levante,,,3166,,Manel Usedo
18250,ibrahima danfakha,getafe,,,,,
1826,jan oblak,atletico,jan-oblak,29,,2261,
18282,yassir zabiri,racing,yassir-zabiri,,,14459,
18309,umaru konare,elche,umaru-konare,,,14717,
18314,robbie ure,sevilla,robbie-ure,327536,,14683,
18378,joseph otu,malaga,,,,,
1859,josan ferrandez,elche,josan,,,8893,
1881,unai lopez,rayo,unai-lopez,47285,2384,4091,Unai Lopez
1882,joao cancelo,barcelona,joao-cancelo,,,2379,
189,jonny castro,alaves,jonny-castro,,2552,2280,Jonny Otto
1919,david soria,getafe,david-soria,47247,184,2415,David Soria
1927,pere milla,espanyol,pere-milla,47398,2400,4175,Pere Milla
1928,lucas torro,osasuna,lucas-torro,1825,,7050,
1931,marcos llorente,atletico,marcos-llorente,753,,2518,
1934,iñaki williams,athletic,inaki-williams,47294,,2399,
1945,borja iglesias,celta,borja-iglesias,,,2543,
1972,yeray alvarez,athletic,yeray-alvarez,,,5062,
1975,alex remiro,real sociedad,alex-remiro,47269,,2555,
1980,jose angel jurado,deportivo,jose-angel-jurado,,,,
1981,javi muñoz,getafe,javi-munoz,,,4168,
1989,borja mayoral,getafe,borja-mayoral,,,2252,
2153,hector bellerin,betis,hector-bellerin,,,492,
2242,gonçalo guedes,real sociedad,goncalo-guedes,925,,5682,
2288,dani olmo,barcelona,dani-olmo,,,8292,
2417,andreas christensen,barcelona,andreas-christensen,,,200,
2534,wojciech szczesny,barcelona,wojciech-szczesny,,2783,1244,Szczesny
2536,antonio rudiger,real madrid,antonio-rudiger,,,1822,
2632,pablo fornals,betis,pablo-fornals,1697,3099,2335,Fornals
2663,pablo maffeo,valencia,pablo-maffeo,,,1003,
2675,mikel oyarzabal,real sociedad,mikel-oyarzabal,,,2234,
2715,pepelu,valencia,pepelu,47463,2464,2551,Pepelu
2727,ezequiel ponce,elche,ezequiel-ponce,,3188,2057,E. Ponce
2733,rodri hernandez,barcelona,rodri-hernandez,,,,
2751,kike garcia,espanyol,kike-garcia,,,5074,
