observed_at,season,player_name,player_name_full,team,points,games,avg
2026-08-11T1439Z,2025-26,Rodríguez,Ricardo Rodriguez,Betis,90,23,3.910
2026-08-11T1439Z,2025-26,Bakambu,Cédric Bakambu,Betis,54,18,3.000
2026-08-11T1439Z,2025-26,Bellerín,Héctor Bellerín,Betis,124,27,4.590
2026-08-11T1439Z,2025-26,Fornals,Pablo Fornals,Betis,272,37,7.350
2026-08-11T1439Z,2025-26,Valles,Álvaro Valles,Betis,185,28,6.610
2026-08-11T1439Z,2025-26,Lo Celso,Giovani Lo Celso,Betis,119,24,4.960
2026-08-11T1439Z,2025-26,Junior,Junior Firpo,Betis,38,12,3.170
2026-08-11T1439Z,2025-26,Ruibal,Aitor Ruibal,Betis,128,27,4.740
2026-08-11T1439Z,2025-26,Chimy,Chimy Ávila,Betis,37,16,2.310
2026-08-11T1439Z,2025-26,Cucho,Cucho Hernández,Betis,188,32,5.880
2026-08-11T1439Z,2025-26,Riquelme,Rodrigo Riquelme,Betis,66,25,2.640
2026-08-11T1439Z,2025-26,Dani Pérez,Dani Pérez,Betis,2,1,2.000
2026-08-11T1439Z,2025-26,Ortiz,Ángel Ortiz,Betis,29,13,2.230
2026-08-11T1439Z,2025-26,Altimira,Sergi Altimira,Betis,93,24,3.880
2026-08-11T1439Z,2025-26,Natan,Natan,Betis,163,33,4.940
2026-08-11T1439Z,2025-26,Pablo García,Pablo García,Betis,33,15,2.200
2026-08-11T1439Z,2025-26,Mawuli,Mawuli Mensah,Betis,0,0,0.000
2026-08-11T1439Z,2025-26,Valentín Gómez,Valentín Gómez,Betis,99,28,3.540
2026-08-11T1439Z,2025-26,Corralejo,Iván Corralejo,Betis,1,1,1.000
2026-08-11T1439Z,2025-26,Manu González,Manu González,Betis,0,0,0.000
2026-08-11T1439Z,2025-26,D. Llorente,Diego Javier Llorente,Betis,91,18,5.060
2026-08-11T1439Z,2025-26,Marc Roca,Marc Roca,Betis,126,29,4.340
2026-08-11T1439Z,2025-26,Germán,Germán García,Betis,0,0,0.000
2026-08-11T1439Z,2025-26,Deossa,Nelson Deossa,Betis,54,20,2.700
2026-08-11T1439Z,2025-26,S. Amrabat,Sofyan Amrabat,Betis,65,17,3.820
2026-08-11T1439Z,2025-26,Antony,Antony,Betis,206,32,6.440
2026-08-11T1439Z,2025-26,Abde,Abde Ezzalzouli,Betis,218,29,7.520
2026-08-11T1439Z,2025-26,Bladi,Darling Bladi,Betis,0,0,0.000
2026-08-11T1439Z,2025-26,Isco,Isco Alarcón,Betis,31,8,3.880
2026-08-11T1439Z,2025-26,Fidalgo,Álvaro Fidalgo,Betis,37,9,4.110
2026-08-11T1439Z,2025-26,Marina,Rodrigo Marina,Betis,0,0,0.000
2026-08-11T1439Z,2025-26,De Roa,Carlos De Roa,Betis,0,0,0.000
2026-08-11T1439Z,2025-26,Busto,Pablo Busto,Betis,0,0,0.000
2026-08-11T1439Z,2025-26,Aspas,Iago Aspas,Celta,141,32,4.410
2026-08-11T1439Z,2025-26,Iglesias,Borja Iglesias,Celta,173,35,4.940
2026-08-11T1439Z,2025-26,Iván Villar,Iván Villar,Celta,0,0,0.000
2026-08-11T1439Z,2025-26,M. Alonso,Marcos Alonso,Celta,191,32,5.970
2026-08-11T1439Z,2025-26,Radu,Ionut Radu,Celta,254,38,6.680
2026-08-11T1439Z,2025-26,Carreira,Sergio Carreira,Celta,130,34,3.820
2026-08-11T1439Z,2025-26,Jutglà,Ferran Jutglà,Celta,142,30,4.730
2026-08-11T1439Z,2025-26,Mingueza,Óscar Mingueza,Celta,132,34,3.880
2026-08-11T1439Z,2025-26,Moriba,Ilaix Moriba,Celta,137,36,3.810
2026-08-11T1439Z,2025-26,Domínguez,Carlos Dominguez,Celta,24,8,3.000
2026-08-11T1439Z,2025-26,Sotelo,Hugo Sotelo,Celta,84,20,4.200
2026-08-11T1439Z,2025-26,Hugo Álvarez,Hugo Álvarez,Celta,112,28,4.000
