player_name,player_name_full,team,points,games,avg,ff_id,season,observed_at,source_url
Burcio,Hugo Burcio,Celta,0,1,0.000,16803,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Fer López,Fer López,Celta,71,17,4.180,14818,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Vecino,Matías Vecino,Celta,11,6,1.830,5313,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Antañón,Andrés Antañón,Celta,1,2,0.500,16802,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Cabrera,Leandro Cabrera,Espanyol,162,37,4.380,582,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Pere Milla,Pere Milla,Espanyol,146,33,4.420,1927,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Kike García,Kike García,Espanyol,139,37,3.760,2751,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Edu Expósito,Edu Expósito,Espanyol,202,36,5.610,3738,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Dmitrovic,Marko Dmitrovic,Espanyol,222,37,6.000,3759,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Puado,Javi Puado,Espanyol,42,10,4.200,3807,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Lozano,Pol Lozano,Espanyol,97,33,2.940,3879,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Miguel Rubio,Miguel Ángel Rubio,Espanyol,29,12,2.420,5220,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Calero,Fernando Calero,Espanyol,121,28,4.320,5553,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Salinas,José Salinas,Espanyol,6,11,0.550,8250,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Terrats,Ramón Terrats,Espanyol,87,29,3.000,8944,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Pablo Ramón,Pablo Ramón,Espanyol,0,0,0.000,8972,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Rubén Sánchez,Rubén Sánchez,Espanyol,68,21,3.240,9695,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Jofre,Jofre Carreras,Espanyol,65,26,2.500,9850,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Roberto,Roberto Fernández,Espanyol,151,38,3.970,9987,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Fortuño,Ángel Fortuño,Espanyol,7,1,7.000,10219,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
El Hilali,Omar El Hilali,Espanyol,101,36,2.810,10220,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Romero,Carlos Romero,Espanyol,196,36,5.440,11172,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Pol Tristan,Pol Tristan,Espanyol,0,0,0.000,12609,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Bauzà,Rafel Bauzà,Espanyol,0,0,0.000,12918,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Roca,Antoniu Roca,Espanyol,22,13,1.690,12980,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Hinojo,Roger Hinojo,Espanyol,0,0,0.000,15316,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Dolan,Tyrhys Dolan,Espanyol,152,36,4.220,16202,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Koleosho,Luca Koleosho,Espanyol,9,3,3.000,10197,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Pickel,Charles Pickel,Espanyol,47,24,1.960,10435,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Riedel,Clemens Riedel,Espanyol,76,20,3.800,16308,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Javier Hernández,Javier Hernández,Espanyol,0,0,0.000,14024,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Serred,Llorenç Serred,Espanyol,0,0,0.000,12891,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Ferran,Ferran Gómez,Espanyol,0,0,0.000,16809,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Ngongé,Cyril Ngongé,Espanyol,33,9,3.670,6403,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Timera,Adama Timera,Espanyol,0,0,0.000,17445,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Londoño,Miguel Londoño,Espanyol,0,0,0.000,17531,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Castell,Lluc Castell,Espanyol,0,1,0.000,17532,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Almansa,Alex Almansa,Espanyol,0,0,0.000,10276,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Soria,David Soria,Getafe,249,38,6.550,1919,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Diego Rico,Diego Rico,Getafe,76,28,2.710,3235,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Álex Sola,Álex Sola,Getafe,1,1,1.000,3800,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Djené,Dakonam Djené,Getafe,142,34,4.180,3881,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Arambarri,Mauro Arambarri,Getafe,190,37,5.140,4639,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Luis Milla,Luis Milla,Getafe,260,37,7.030,6935,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Iglesias,Juan Iglesias,Getafe,161,37,4.350,8686,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Peter,Peter González,Getafe,0,0,0.000,9838,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Mario Martín,Mario Martín,Getafe,90,35,2.570,11202,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Joselu,Joselu Pérez,Getafe,3,2,1.500,12539,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Liso,Adrián Liso,Getafe,83,28,2.960,12892,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Risco,Alberto Risco,Getafe,0,0,0.000,12917,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Uche,Christantus Uche,Getafe,20,3,6.670,13780,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Bekhoucha,Ismael Bekhoucha,Getafe,13,4,3.250,13875,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Letácek,Jiri Letácek,Getafe,0,0,0.000,13877,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Coba,Coba Gomes,Getafe,27,14,1.930,14159,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Davinchi,Davinchi,Getafe,27,14,1.930,16004,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Vilaplana,Marc Vilaplana,Getafe,0,0,0.000,16272,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Mayoral,Borja Mayoral,Getafe,71,16,4.440,1989,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
D. Duarte,Domingos Duarte,Getafe,181,34,5.320,3998,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Femenia,Kiko Femenia,Getafe,113,28,4.040,3178,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Abqar,Abdel Abqar,Getafe,83,23,3.610,5083,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Kamara,Abu Kamara,Getafe,21,12,1.750,10153,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Neyou,Yvan Neyou,Getafe,4,5,0.800,10564,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
